subject,negLL,alpha_rw_opt,alpha_ck_op,beta_opt,BIC,optimal_init_params,Q_init,CK_init,group
4152,1380.4047071965329,0.4225076380269976,0.12890785332382748,0.5732617879908618,2784.002573825087,"(0.6666666666666666, 0.3333333333333333, 0.1)","[[0.9095625308411411, 0.7205938480551624], [6.23499846955519e-33, 0.9999999999999999], [0.9999999999999999, 1.6341700781087764e-31], [1.0, 0.0]]","[[0.5374133122056652, 0.46258668779433487], [0.45491470311261073, 0.5450852968873892], [0.8194056059582439, 0.1805943940417561], [0.7167283638381633, 0.2832716361618368]]",Hard
4154,1280.2577955415047,0.0100006605171573,0.16145781814373095,1.3346380713894987,2583.9369009533875,"(0.0, 0.3333333333333333, 0.1)","[[0.7920957275618403, 0.701964489498764], [0.897877038895797, 0.13531503784677704], [0.7177147303225954, 0.982054236652386], [1.0, 0.0]]","[[0.5113969688220593, 0.48860303117794057], [0.613214978155722, 0.386785021844278], [0.009648453449004562, 0.9903515465509954], [0.7149409500794246, 0.28505904992057557]]",Hard
5091,1719.5788809406044,0.01,0.3333333333333333,0.1,3462.670424963852,"(0.0, 0.3333333333333333, 0.1)","[[0.758593990955376, 0.7365781388770006], [0.9951891417968857, 0.03519347404972351], [0.09910263352780026, 0.9985453430516449], [1.0, 0.0]]","[[0.4566672434865102, 0.5433327565134898], [0.9235231136740277, 0.07647688632597224], [0.9414822168796959, 0.058517783120304166], [0.9235162748141692, 0.07648372518583083]]",Hard
5354,1300.3068231882223,0.01,0.01,1.7333333333333336,2624.2034465484735,"(0.0, 0.0, 1.7333333333333336)","[[0.8902687348294418, 0.7610387119147936], [0.9997687661953412, 0.008971160048086799], [0.09053196499869608, 0.9999821772046856], [1.0, 0.0]]","[[0.37557398544214327, 0.624426014557857], [0.8570428731738644, 0.14295712682613557], [0.019596663198025333, 0.9804033368019744], [0.7095160725576983, 0.2904839274423018]]",Hard
6832,1318.9136430533101,0.01,0.01,1.7333333333333336,2661.417086278649,"(0.0, 0.0, 1.7333333333333336)","[[0.8583389293322481, 0.6940977730025687], [0.9999838795228119, 0.0015766571696967052], [0.08187548636014523, 0.9999997794252183], [1.0, 0.0]]","[[0.31338752501494094, 0.6866124749850592], [0.6675102110906149, 0.33248978890938474], [0.004926019790903507, 0.9950739802090964], [0.6371906282049501, 0.36280937179504935]]",Hard
6833,1367.61985280011,0.01,0.04422008555215451,1.4633602020387726,2758.829505772249,"(0.0, 0.3333333333333333, 0.1)","[[0.8534639844988314, 0.7815977346087677], [0.7623304250187675, 0.9848925601667549], [0.9023774880678063, 0.1118078577615783], [1.0, 0.0]]","[[0.5036879158798658, 0.49631208412013406], [0.07629976676378514, 0.9237002332362146], [0.5268859105958115, 0.4731140894041884], [0.7038867203893995, 0.2961132796106004]]",Hard
6951,1348.29525402946,0.01,0.034420967197769436,1.4780272242438326,2720.180308230949,"(0.0, 0.3333333333333333, 0.1)","[[0.7945839186757696, 0.685810415317157], [0.6049963141510325, 0.9997804124066778], [0.987435949416298, 0.010327933813428919], [1.0, 0.0]]","[[0.3242642726155643, 0.6757357273844357], [0.06587989546824037, 0.9341201045317595], [0.6522913538503089, 0.34770864614969094], [0.7338645733221848, 0.2661354266778153]]",Hard
8012,1127.0999694448624,0.010357904058224164,0.04798676808003783,1.1694567891961927,2277.7897390617536,"(0.0, 0.3333333333333333, 0.1)","[[0.9204743856236343, 0.7083519831003104], [0.9719421823501979, 0.14719265414610938], [0.8624323122163569, 0.9892102117024135], [1.0, 0.0]]","[[0.34356124171401103, 0.656438758285989], [0.6282939284287167, 0.3717060715712831], [0.021168026799697322, 0.9788319732003028], [0.5420874561849776, 0.45791254381502244]]",Hard
8332,1658.6532662597306,0.01,0.01,1.7333333333333336,3340.89633269149,"(0.0, 0.0, 1.7333333333333336)","[[0.7681484719707016, 0.7486470432384673], [0.9979013786124589, 0.024111329831618924], [0.5270472539256061, 0.9998023847876113], [1.0, 0.0]]","[[0.4362839785965792, 0.5637160214034209], [0.6314991083687744, 0.36850089163122585], [0.05967371215328201, 0.940326287846718], [0.6652200244787075, 0.33477997552129235]]",Hard
8451,1349.4945790236886,0.01,0.01,1.7333333333333336,2722.578958219406,"(0.0, 0.0, 1.7333333333333336)","[[0.8068105008128131, 0.7798382826504889], [0.9998949920730925, 0.005904027989349194], [0.47665208913293194, 0.9999975543156047], [1.0, 0.0]]","[[0.4466378271306449, 0.5533621728693547], [0.8096206696595217, 0.19037933034047833], [0.012899212104630154, 0.98710078789537], [0.7798486422690715, 0.22015135773092864]]",Hard
